Transcript: estamos 
confidence: 0.7777984142303467 

Word: estamos, start_time: 0.0, end_time: 59.9 
Transcript: General Santos Cruz professor Marcos Tourinho e Bruno Lopes hoje é o dia 21 de outubro de 2016 Geraldo de 2000/2003 foragido na embaixada brasileira em Moscou falando sobre o meu trabalho de um adido e qual que era a missão do Senhor e Moscou obrigado bom dia tiver lugar Obrigado pelo convite uma honra tá dançando atualizadas uma das instituições mais respeitadas e admiradas no Brasil e Morena russa de Janeiro de 2001 na janela fevereiro de 2003 dois anos como adido Militar da Embaixada do Brasil na Rússia algumas possuem adido militar lojas Adidas policiais outros agentes comerciais na rua do militar que representa o interesse do exército Marinha aeronáutica e também ministério 
confidence: 0.925672709941864 

Word: General, start_time: 59.9, end_time: 61.4 
Word: Santos, start_time: 61.4, end_time: 62.1 
Word: Cruz, start_time: 62.1, end_time: 62.2 
Word: professor, start_time: 62.2, end_time: 63.7 
Word: Marcos, start_time: 63.7, end_time: 64.1 
Word: Tourinho, start_time: 64.1, end_time: 64.3 
Word: e, start_time: 64.3, end_time: 64.7 
Word: Bruno, start_time: 64.7, end_time: 65.5 
Word: Lopes, start_time: 65.5, end_time: 65.9 
Word: hoje, start_time: 65.9, end_time: 66.3 
Word: é, start_time: 66.3, end_time: 66.4 
Word: o, start_time: 66.4, end_time: 66.5 
Word: dia, start_time: 66.5, end_time: 66.6 
Word: 21, start_time: 66.6, end_time: 67.0 
Word: de, start_time: 67.0, end_time: 67.1 
Word: outubro, start_time: 67.1, end_time: 67.6 
Word: de, start_time: 67.6, end_time: 67.9 
Word: 2016, start_time: 67.9, end_time: 68.7 
Word: Geraldo, start_time: 68.7, end_time: 69.9 
Word: de, start_time: 69.9, end_time: 70.5 
Word: 2000/2003, start_time: 70.5, end_time: 71.4 
Word: foragido, start_time: 71.4, end_time: 72.6 
Word: na, start_time: 72.6, end_time: 73.0 
Word: embaixada, start_time: 73.0, end_time: 73.6 
Word: brasileira, start_time: 73.6, end_time: 73.7 
Word: em, start_time: 73.7, end_time: 74.7 
Word: Moscou, start_time: 74.7, end_time: 75.1 
Word: falando, start_time: 75.1, end_time: 77.8 
Word: sobre, start_time: 77.8, end_time: 78.1 
Word: o, start_time: 78.1, end_time: 78.2 
Word: meu, start_time: 78.2, end_time: 78.5 
Word: trabalho, start_time: 78.5, end_time: 78.7 
Word: de, start_time: 78.7, end_time: 79.0 
Word: um, start_time: 79.0, end_time: 79.1 
Word: adido, start_time: 79.1, end_time: 79.5 
Word: e, start_time: 79.5, end_time: 79.6 
Word: qual, start_time: 79.6, end_time: 80.0 
Word: que, start_time: 80.0, end_time: 80.1 
Word: era, start_time: 80.1, end_time: 80.3 
Word: a, start_time: 80.3, end_time: 80.4 
Word: missão, start_time: 80.4, end_time: 80.7 
Word: do, start_time: 80.7, end_time: 80.9 
Word: Senhor, start_time: 80.9, end_time: 81.1 
Word: e, start_time: 81.1, end_time: 81.9 
Word: Moscou, start_time: 81.9, end_time: 82.4 
Word: obrigado, start_time: 82.4, end_time: 84.8 
Word: bom, start_time: 84.8, end_time: 84.9 
Word: dia, start_time: 84.9, end_time: 85.1 
