Transcript: quase morri do coração quando ela me convidou a conhecer o Seu apê Chama de Amor o tempo todo Eu me Levanto de pedreiro de bombeiro encanador não era amor não era amor era não era 
confidence: 0.8617095351219177 

Word: quase, start_time: 0.0, end_time: 11.5 
Word: morri, start_time: 11.5, end_time: 12.0 
Word: do, start_time: 12.0, end_time: 12.2 
Word: coração, start_time: 12.2, end_time: 12.3 
Word: quando, start_time: 12.3, end_time: 13.5 
Word: ela, start_time: 13.5, end_time: 14.2 
Word: me, start_time: 14.2, end_time: 14.4 
Word: convidou, start_time: 14.4, end_time: 15.4 
Word: a, start_time: 15.4, end_time: 15.7 
Word: conhecer, start_time: 15.7, end_time: 16.8 
Word: o, start_time: 16.8, end_time: 16.9 
Word: Seu, start_time: 16.9, end_time: 17.3 
Word: apê, start_time: 17.3, end_time: 17.8 
Word: Chama, start_time: 17.8, end_time: 18.6 
Word: de, start_time: 18.6, end_time: 18.9 
Word: Amor, start_time: 18.9, end_time: 20.0 
Word: o, start_time: 20.0, end_time: 20.1 
Word: tempo, start_time: 20.1, end_time: 22.1 
Word: todo, start_time: 22.1, end_time: 24.2 
Word: Eu, start_time: 24.2, end_time: 25.4 
Word: me, start_time: 25.4, end_time: 25.6 
Word: Levanto, start_time: 25.6, end_time: 26.2 
Word: de, start_time: 26.2, end_time: 26.4 
Word: pedreiro, start_time: 26.4, end_time: 27.4 
Word: de, start_time: 27.4, end_time: 27.7 
Word: bombeiro, start_time: 27.7, end_time: 27.9 
Word: encanador, start_time: 27.9, end_time: 28.6 
Word: não, start_time: 28.6, end_time: 49.2 
Word: era, start_time: 49.2, end_time: 50.3 
Word: amor, start_time: 50.3, end_time: 51.1 
Word: não, start_time: 51.1, end_time: 53.8 
Word: era, start_time: 53.8, end_time: 54.4 
Word: amor, start_time: 54.4, end_time: 55.1 
Word: era, start_time: 55.1, end_time: 56.6 
Word: não, start_time: 56.6, end_time: 58.8 
Word: era, start_time: 58.8, end_time: 59.6 
Transcript: não era amor tá demorando de dançar quadrilha e me sentindo mal depois eu esqueci celular e fez um brinde aquele clima envolvente acelerou meu coração ficou gigante de repente todo sujo de vegetação não era amor não era amor 
confidence: 0.8042312264442444 

Word: não, start_time: 59.9, end_time: 63.5 
Word: era, start_time: 63.5, end_time: 64.1 
Word: amor, start_time: 64.1, end_time: 64.7 
Word: tá, start_time: 64.7, end_time: 66.9 
Word: demorando, start_time: 66.9, end_time: 76.5 
