Transcript: estamos gravando diretamente da residência do Presidente Juscelino Kubitschek para uma entrevista versando sobre o tema estabilidade política durante o governo Juscelino Kubitschek teve especificamente um problema político e teórico 
confidence: 0.9021123647689819 

Word: estamos, start_time: 0.0, end_time: 1.1 
Word: gravando, start_time: 1.1, end_time: 1.6 
Word: diretamente, start_time: 1.6, end_time: 2.7 
Word: da, start_time: 2.7, end_time: 2.8 
Word: residência, start_time: 2.8, end_time: 3.5 
Word: do, start_time: 3.5, end_time: 3.6 
Word: Presidente, start_time: 3.6, end_time: 3.8 
Word: Juscelino, start_time: 3.8, end_time: 4.2 
Word: Kubitschek, start_time: 4.2, end_time: 4.9 
Word: para, start_time: 4.9, end_time: 6.6 
Word: uma, start_time: 6.6, end_time: 6.7 
Word: entrevista, start_time: 6.7, end_time: 6.9 
Word: versando, start_time: 6.9, end_time: 9.0 
Word: sobre, start_time: 9.0, end_time: 9.1 
Word: o, start_time: 9.1, end_time: 9.3 
Word: tema, start_time: 9.3, end_time: 9.7 
Word: estabilidade, start_time: 9.7, end_time: 10.1 
Word: política, start_time: 10.1, end_time: 10.8 
Word: durante, start_time: 10.8, end_time: 11.5 
Word: o, start_time: 11.5, end_time: 12.0 
Word: governo, start_time: 12.0, end_time: 12.9 
Word: Juscelino, start_time: 12.9, end_time: 13.9 
Word: Kubitschek, start_time: 13.9, end_time: 14.9 
Word: teve, start_time: 14.9, end_time: 25.1 
Word: especificamente, start_time: 25.1, end_time: 26.4 
Word: um, start_time: 26.4, end_time: 27.1 
Word: problema, start_time: 27.1, end_time: 27.6 
Word: político, start_time: 27.6, end_time: 27.9 
Word: e, start_time: 27.9, end_time: 28.1 
Word: teórico, start_time: 28.1, end_time: 28.8 
Transcript:  Eu estou estudando já algum tempo que é problema da estabilidade política Ou seja a manutenção de um determinado sistema político por um tempo determinado a manutenção do regime vigente do regime de participação da vida o que é um regime democrático a manutenção do regime democrático 
confidence: 0.8958745002746582 

Word: Eu, start_time: 30.2, end_time: 30.6 
Word: estou, start_time: 30.6, end_time: 30.9 
Word: estudando, start_time: 30.9, end_time: 31.1 
Word: já, start_time: 31.1, end_time: 31.4 
