Transcript: fichário da Capricho 
confidence: 0.5694495439529419 

Word: fichário, start_time: 0.0, end_time: 57.9 
Word: da, start_time: 57.9, end_time: 58.1 
Word: Capricho, start_time: 58.1, end_time: 58.3 
Transcript: your Number tradução what's the many Faces of Creation 14 anos 80 por 120 download because Beatles words of love the civil essa novela A gente entra nos outros tô PowerPoint animations for Field expecting property you are not speak out Your Mind Over Mutant Spring Rammstein 
confidence: 0.9076254963874817 

Word: your, start_time: 60.2, end_time: 60.8 
Word: Number, start_time: 60.8, end_time: 61.2 
Word: tradução, start_time: 61.2, end_time: 62.2 
Word: what's, start_time: 62.2, end_time: 63.0 
Word: the, start_time: 63.0, end_time: 63.2 
Word: many, start_time: 63.2, end_time: 63.8 
Word: Faces, start_time: 63.8, end_time: 64.3 
Word: of, start_time: 64.3, end_time: 64.9 
Word: Creation, start_time: 64.9, end_time: 67.1 
Word: 14, start_time: 67.1, end_time: 67.7 
Word: anos, start_time: 67.7, end_time: 69.3 
Word: 80, start_time: 69.3, end_time: 72.4 
Word: por, start_time: 72.4, end_time: 73.7 
Word: 120, start_time: 73.7, end_time: 74.6 
Word: download, start_time: 74.6, end_time: 77.1 
Word: because, start_time: 77.1, end_time: 78.6 
Word: Beatles, start_time: 78.6, end_time: 79.9 
Word: words, start_time: 79.9, end_time: 81.7 
Word: of, start_time: 81.7, end_time: 82.4 
Word: love, start_time: 82.4, end_time: 83.6 
Word: the, start_time: 83.6, end_time: 84.2 
Word: civil, start_time: 84.2, end_time: 86.6 
Word: essa, start_time: 86.6, end_time: 87.8 
Word: novela, start_time: 87.8, end_time: 88.1 
Word: A, start_time: 88.1, end_time: 88.3 
Word: gente, start_time: 88.3, end_time: 88.7 
Word: entra, start_time: 88.7, end_time: 90.0 
Word: nos, start_time: 90.0, end_time: 90.1 
Word: outros, start_time: 90.1, end_time: 90.3 
Word: tô, start_time: 90.3, end_time: 90.6 
Word: PowerPoint, start_time: 90.6, end_time: 93.0 
Word: animations, start_time: 93.0, end_time: 98.6 
Word: for, start_time: 98.6, end_time: 98.8 
Word: Field, start_time: 98.8, end_time: 99.2 
Word: expecting, start_time: 99.2, end_time: 99.3 
Word: property, start_time: 99.3, end_time: 102.1 
Word: you, start_time: 102.1, end_time: 108.4 
Word: are, start_time: 108.4, end_time: 108.5 
Word: not, start_time: 108.5, end_time: 108.7 
Word: speak, start_time: 108.7, end_time: 109.0 
Word: out, start_time: 109.0, end_time: 111.1 
Word: Your, start_time: 111.1, end_time: 111.2 
Word: Mind, start_time: 111.2, end_time: 111.5 
Word: Over, start_time: 111.5, end_time: 112.7 
Word: Mutant, start_time: 112.7, end_time: 113.4 
Word: Spring, start_time: 113.4, end_time: 114.4 
Word: Rammstein, start_time: 114.4, end_time: 114.7 
Transcript: quando tiver saindo no site os Beatles Love Words apart respostas wordbrain objeto não está na Série A sétima do Raul Brasília para Porto Alegre essa crise energética antes cor bairro Ibirité bairro CD novo xand ex-paquito posologia de presente para projeto Urbano da onda 
confidence: 0.7772608995437622 

Word: quando, start_time: 120.2, end_time: 121.1 
Word: tiver, start_time: 121.1, end_time: 121.7 
Word: saindo, start_time: 121.7, end_time: 122.0 
Word: no, start_time: 122.0, end_time: 122.4 
Word: site, start_time: 122.4, end_time: 123.4 
Word: os, start_time: 123.4, end_time: 123.4 
Word: Beatles, start_time: 123.4, end_time: 124.1 
Word: Love, start_time: 124.1, end_time: 124.8 
Word: Words, start_time: 124.8, end_time: 125.7 
Word: apart, start_time: 125.7, end_time: 126.2 
Word: respostas, start_time: 126.2, end_time: 126.9 
Word: wordbrain, start_time: 126.9, end_time: 128.3 
Word: objeto, start_time: 128.3, end_time: 130.6 
Word: não, start_time: 130.6, end_time: 131.8 
Word: está, start_time: 131.8, end_time: 133.0 
Word: na, start_time: 133.0, end_time: 133.1 
Word: Série, start_time: 133.1, end_time: 133.6 
Word: A, start_time: 133.6, end_time: 133.7 
Word: sétima, start_time: 133.7, end_time: 134.7 
Word: do, start_time: 134.7, end_time: 134.8 
Word: Raul, start_time: 134.8, end_time: 135.3 
Word: Brasília, start_time: 135.3, end_time: 136.1 
Word: para, start_time: 136.1, end_time: 136.6 
Word: Porto, start_time: 136.6, end_time: 137.0 
Word: Alegre, start_time: 137.0, end_time: 137.1 
Word: essa, start_time: 137.1, end_time: 137.8 
Word: crise, start_time: 137.8, end_time: 138.4 
Word: energética, start_time: 138.4, end_time: 139.8 
Word: antes, start_time: 139.8, end_time: 140.9 
Word: cor, start_time: 140.9, end_time: 141.3 
Word: bairro, start_time: 141.3, end_time: 142.0 
Word: Ibirité, start_time: 142.0, end_time: 142.4 
